Produit;Désignation;Vendeur;Raison sociale du vendeur;Expéditeur;Pays;Raison sociale de l'expéditeur;Identifiant appro;SGR;Ligne;Traitée;Rupture minimale;Nombre de jours couverture minimale;Rupture usine;Nombre de jours couverture usine;Rupture usine et parc;Nombre de jours couverture usine + parc;Rupture usine sans encours transport;Nombre de jours couverture sans encours transport;Stock Sens2;Stock départ Minimale;Stock départ usine;Stock départ usine et parc;SGR et ligne;Date fin série;Date transfert série;Date dernier RI;Dotation atelier;Sécu appro;Sécu LUO;Sécu NLIJ;Sécu douane;Unité;Sécu transport amont;Unité;Sécu transport aval;Unité;Sécu transport;Unité;CMJ JL Hebdo;CMJ JL Périodique;Quantité EO;Quantité EF;Quantité XC;Quantité RP;Quantité XP;Quantité DT;Quantité AT;Quantité EP;Quantité AS;Retard en EF/XP;Retard en RQ;Avance en RQ;Commentaire;Date Commentaire;Auteur du commentaire;Date du dernier calcul de couverture
7903233029;ECROU;34894C  01;LISI AUTOMOTIVE FORMER;94437Y  01;France;LISI AUTOMOTIVE NOMEL SAS;HENRIO DOMINIQUE;CJ6;1;Non traitée;09/11/15 08:00;16,5;;0;;0;;0;183501;30022;177897;0;CJ6-1;;01/01/1996 01:00:00;;147875;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;360;M;8567;8591;56000;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:10:30
7903233044;ECROU M10*150;18727E  04;ALCOA FIXATIONS SIMMONDS;18727E  04;France;ALCOA FIXATIONS SIMMONDS;GAUTHER SYLVIE;CJ6;1;Non traitée;03/11/15 07:03;10,5;;0;;0;;0;12926;-2238;8962;0;CJ6-1, CJ2-;;10/10/1996 02:00:00;;11200;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;300;M;128;132;1600;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:04:47
7903301112;ML VIS M8X125L25;63629L  12;AGRATI GIE;63095F  01;France;AGRATI VIEUX-CONDE SAS;HENRIO DOMINIQUE;CJ6;1;Non traitée;12/11/15 11:39;19,5;;0;;0;05/11/2015 11:23:19;12,5;2419;-816;1984;0;CJ6-1;;01/01/1996 01:00:00;;2800;0;58;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;793;696;4900;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:01:54
7903301130;VIS RCN M10;63629L  12;AGRATI GIE;63095F  01;France;AGRATI VIEUX-CONDE SAS;HENRIO DOMINIQUE;CJ6;1;Non traitée;12/11/15 10:03;19,5;;0;;0;;0;1243;347;1187;0;CJ6-1;;01/01/1996 01:00:00;;840;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;126;116;280;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:06:50
7903301281;VIS H RCN M10X15;63629L  12;AGRATI GIE;63095F  01;France;AGRATI VIEUX-CONDE SAS;HENRIO DOMINIQUE;CJ6;1;Non traitée;12/11/15 10:01;19,5;;0;;0;;0;1047;275;975;0;CJ6-1;;15/09/2003 02:00:00;;700;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;135;111;350;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:05:59
7903301532;VIS H M8X125 L30;68891F  01;FONTANA FASTENERS FRANCE SA;68891F  01;France;FONTANA FASTENERS FRANCE SA;EVEILLARD ISABELLE;CJ6;1;Non traitée;03/11/15 07:02;10,5;03/11/2015 07:02:55;10,5;;0;03/11/2015 07:02:55;10,5;79186;-38304;-4970;0;CJ6-1, CJ2-1;;08/11/1996 01:00:00;;50000;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;420;M;6472;6500;25600;0;12800;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:30:47
7903602014;VIS;63629L  12;AGRATI GIE;63095F  01;France;AGRATI VIEUX-CONDE SAS;HENRIO DOMINIQUE;CJ6;1;Non traitée;12/11/15 14:12;19,5;;0;;0;;0;3896;462;3762;0;CJ6-1;29/02/2016;01/01/1996 01:00:00;;3300;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;243;248;1100;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:03:38
7903602025;VIS EMBASE 8X30;63629L  12;AGRATI GIE;63095F  01;France;AGRATI VIEUX-CONDE SAS;HENRIO DOMINIQUE;CJ6;1;Non traitée;12/11/15 09:44;19,5;;0;;0;;0;4364;278;4278;0;CJ6-1;;04/06/2007 02:00:00;;4000;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;149;143;500;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:04:47
7903602032;VIS H EMB;63629L  12;AGRATI GIE;63095F  01;France;AGRATI VIEUX-CONDE SAS;HENRIO DOMINIQUE;CJ6;1;Non traitée;12/11/15 08:21;19,5;;0;;0;09/11/2015 13:06:17;16,5;1625;669;1419;0;CJ6-1;;01/01/1996 01:00:00;;750;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;350;342;1250;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:03:27
7920025012;FILM ADHESIF D30;83980G  01;ADHEX TECHNOLOGIES;83980G  01;France;ADHEX TECHNOLOGIES;PENVEN CHRISTIAN;CJ6;1;Non traitée;03/11/15 07:00;10,5;;0;;0;;0;105841;-28527;104806;0;CJ6-1;;03/02/1997 01:00:00;;133333;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;480;M;1602;1625;20000;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:01:17
