Produit;quai;SO;Désignation;Vendeur;Raison Sociale;Expéditeur;Raison Sociale;CU;DTS;DFS;% Actif;St FP;ID;Division;Nom site;Statut FP;Périmètre appro;ID appro
7903011390;JM5;A;VIS K CL M6X100;34894C  01;LISI AUTOMOTIVE FORMER;34894C  03;LISI AUTOMOTIVE FORMER;CJ;25/06/2007 02:00;;100.00%;E;122989;;RENNES;Validé exécution;F24;C002704
7903011393;JM5;A;VIS KP M8X125L25;68891F  01;FONTANA FASTENERS FRANCE SA;68891F  01;FONTANA FASTENERS FRANCE SA;CJ;05/01/2011 01:00;;100.00%;E;122990;;RENNES;Validé exécution;F36;C175543
7903011394;JM5;A;VIS M8X125 L35;68891F  01;FONTANA FASTENERS FRANCE SA;68891F  01;FONTANA FASTENERS FRANCE SA;CJ;15/04/2000 02:00;;100.00%;E;122991;;RENNES;Validé exécution;F36;C175543
7903011449;JM5;J;GOUJON K M6X100;83502M  01;TUCKER GMBH;83502M  06;TUCKER GMBH;CJ;26/09/2005 02:00;;100.00%;E;122992;;RENNES;Validé exécution;F35;J421191
7903011463;JM5;A;VIS M8X125 L80;84247X  01;SOCIETE DES FORGES DE FRONCLES;84247X  01;SOCIETE DES FORGES DE FRONCLES;CJ;13/04/2000 02:00;;100.00%;E;122993;;RENNES;Validé exécution;F35;J421191
7903011466;JM5;J;VIS M10X150 L30;68891F  01;FONTANA FASTENERS FRANCE SA;68891F  01;FONTANA FASTENERS FRANCE SA;CJ;27/08/2002 02:00;;100.00%;E;122994;;RENNES;Validé exécution;F36;C175543
7903011473;JM5;J;VIS CL CON M6*20;A0011J  01;A. AGRATI SPA;28655W  04;KUEHNE NAGEL SRL;CJ;29/11/2004 01:00;;100.00%;E;122995;;RENNES;Validé exécution;F12;C002704
7903011474;JM5;A;VIS CL CON M6*25;84247X  01;SOCIETE DES FORGES DE FRONCLES;84247X  01;SOCIETE DES FORGES DE FRONCLES;CJ;01/06/2003 02:00;;100.00%;E;122996;;RENNES;Validé exécution;F35;J421191
7903011475;JM5;J;VIS CL CON M6*40;82109Y  01;ITW RIVEX;82109Y  01;ITW RIVEX;CJ;31/03/2003 02:00;;100.00%;E;122997;;RENNES;Validé exécution;F12;C002704
7903011476;JM5;J;VIS CL CON M6*50;82109Y  01;ITW RIVEX;82109Y  01;ITW RIVEX;CJ;31/03/2003 02:00;;100.00%;E;122998;;RENNES;Validé exécution;F12;C002704
7903016485;JM5;A;VIS RLX 4,2 L16;63629L  12;AGRATI GIE;17896B  02;AGRATI LA BRIDOIRE SARL;CJ;01/01/1996 01:00;;100.00%;E;122999;;RENNES;Validé exécution;M3V;C002704
7903016486;JM5;A;VIS KP RLX TOLE;63629L  12;AGRATI GIE;17896B  02;AGRATI LA BRIDOIRE SARL;CJ;01/01/1996 01:00;;100.00%;E;123000;;RENNES;Validé exécution;M3V;C002704
7903017067;JM5;A;VIS CBLX 4,5 L15;63629L  12;AGRATI GIE;17896B  02;AGRATI LA BRIDOIRE SARL;CJ;01/01/1996 01:00;;100.00%;E;123001;;RENNES;Validé exécution;M3V;C002704
7903017068;JM5;A;VIS KP;63629L  12;AGRATI GIE;17896B  02;AGRATI LA BRIDOIRE SARL;CJ;01/01/1996 01:00;;100.00%;E;123002;;RENNES;Validé exécution;M3V;C002704
7903017070;JM5;A;VIS CBLX 4,5 L30;63629L  12;AGRATI GIE;17896B  02;AGRATI LA BRIDOIRE SARL;CJ;01/01/1996 01:00;;100.00%;E;123003;;RENNES;Validé exécution;M3V;C002704
7903017073;JM5;A;VIS CBLX 6 L15;63629L  12;AGRATI GIE;17896B  02;AGRATI LA BRIDOIRE SARL;CJ;02/12/1996 01:00;;100.00%;E;123004;;RENNES;Validé exécution;M3V;C002704
7903017075;JM5;A;VIS CBLX L25;34894C  01;LISI AUTOMOTIVE FORMER;93769X  01;LISI AUTOMOTIVE KNIPPING ESPANA, S.;CJ;18/11/2005 01:00;;100.00%;E;123005;;RENNES;Validé exécution;M1H;C002829
7903017112;JM5;A;VIS CBLX 3,5 L13;63629L  12;AGRATI GIE;17896B  02;AGRATI LA BRIDOIRE SARL;CJ;04/06/2007 02:00;;100.00%;E;123006;;RENNES;Validé exécution;M3V;C002704
7903033014;JM5;A;ECROU M6X100;51562V  01;NEDSCHROEF FASTENERS SAS;51562V  04;NEDSCHROEF FASTENERS SAS;CJ;10/01/2002 01:00;;100.00%;E;123007;;RENNES;Validé exécution;MSB;A170852
7903042051;JM5;J;ECROU SOU M6X100;A0063I  01;OPTIMAS OE SOLUTIONS SAS;A0063I  01;OPTIMAS OE SOLUTIONS SAS;CJ;01/01/1996 01:00;;100.00%;E;123008;;RENNES;Validé exécution;F41;C002829
7903042052;JM5;J;ECROU K H SOUD;84247X  01;SOCIETE DES FORGES DE FRONCLES;84247X  01;SOCIETE DES FORGES DE FRONCLES;CJ;01/01/1996 01:00;;100.00%;E;123009;;RENNES;Validé exécution;F35;J421191
7903042053;JM5;J;ECROU K H SOUD;34894C  01;LISI AUTOMOTIVE FORMER;34894C  01;LISI AUTOMOTIVE FORMER;CJ;01/01/1996 01:00;;100.00%;E;123010;;RENNES;Validé exécution;F41;C002829
7903042062;JM5;J;ECROU KQ5.5 AC6;34894C  01;LISI AUTOMOTIVE FORMER;34894C  01;LISI AUTOMOTIVE FORMER;CJ;01/01/1996 01:00;;100.00%;E;123011;;RENNES;Validé exécution;F24;C002704
7903042073;JM5;A;ECROU Q SD 7,5 A;34894C  01;LISI AUTOMOTIVE FORMER;34894C  01;LISI AUTOMOTIVE FORMER;CJ;24/01/2005 01:00;;100.00%;E;123012;;RENNES;Validé exécution;F12;C002704
7903043003;JM5;A;ECROU M6X100;17213J  01;BOLLHOFF OTALU SA;17213J  01;BOLLHOFF OTALU SA;CJ;01/01/1996 01:00;;100.00%;E;123013;;RENNES;Validé exécution;M3V;C002704
7903044020;JM5;J;ECROU CAGEM6X100;34894C  01;LISI AUTOMOTIVE FORMER;96859F  01;LISI AUTOMOTIVE RAPID;CJ;01/01/1996 01:00;;100.00%;E;123014;;RENNES;Validé exécution;F41;C002829
7903044062;JM5;A;ECROU M6X100;34894C  01;LISI AUTOMOTIVE FORMER;96859F  01;LISI AUTOMOTIVE RAPID;CJ;19/07/2005 02:00;;100.00%;E;123015;;RENNES;Validé exécution;M1H;C002829
