PEGA201511182021CJ Z0A002320487635E  W809CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z0A002342237132K  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z0A002361237132K  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z0A002519096817K  W501CJ6JM5KSM1  SM1 F16+        0          
PEGA201511182021CJ Z0A002528196817K  W7  CJ3JPV             -    38400          
PEGA201511182021CJ Z0A002670828920J  02  CJ2JFV             +        0          
PEGA201511182021CJ Z0A002779817915X  WC  CJ6JM5             +        0          
PEGA201511182021CJ Z0A002796017915X  WC  CJ6JM5             +        0          
PEGA201511182021CJ Z00012239428810P  01  CJ6JM5             +        0          
PEGA201511182021CJ Z00012239528810P  0101CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00012239528810P  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00012240398626B  0401CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00012240398626B  0409CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00012240428810P  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00012240528810P  0101CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00012240528810P  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00012240628810P  0101CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00012240728810P  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00012240828810P  0101CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00012240951378V  0201CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00012240951378V  0209CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00012241528810P  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00012241828810P  0101CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00012241828810P  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00014011728079V  0101CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00014011728079V  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00022681939224J  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00022682239224J  0101CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00022682239224J  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00022688339224J  0101CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00022688339224J  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ Z00025471233562E  06  CJ6JM5             +        0          
PEGA201511182021CJ Z00028855328079V  0101CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ Z00028855328079V  0109CJ6JM5D9JBT MBA    +        0          
PEGA201511182021CJ 140031388052520L  0209CJ6JM569ANXSHERPA  +        0          
PEGA201511182021CJ 140102698015703T  0401CJ6JM5BSM1  SM1 F09+        0          
PEGA201511182021CJ 147907208023054H  X701CJ6JM5GSM1 ORAN5D93+        0          
PEGA201511182021CJ 148290108052520L  0209CJ6JM569ANXSHERPA  +        0          
PEGA201511182021CJ 149044008095835T  0201CJ6JM5GSM1 KAKI6D04+        0          
PEGA201511182021CJ 149094408025813G  0101CJ6JM5BSM1  SM1 F12+        0          
